City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
Nhulunbuy,40,AU,1512345600,59,-12.23,136.77,89.6,4.7
Kattivakkam,40,IN,1512343800,88,13.22,80.32,77.0,7.63
Ciudad Bolivar,88,VE,1512347501,85,8.12,-63.55,79.47,12.77
Kavaratti,68,IN,1512347500,100,10.57,72.64,80.91,22.28
Ampanihy,0,MG,1512347504,93,-24.7,44.75,67.95,2.93
Zhovti Vody,90,UA,1512345600,93,48.35,33.5,44.6,4.47
Labytnangi,32,RU,1512347537,73,66.66,66.42,18.9,11.77
Saint-Philippe,0,RE,1512345600,78,-21.36,55.77,78.8,5.82
Chokurdakh,68,RU,1512347507,77,70.63,147.92,5.13,13.56
Balkanabat,20,TM,1512347538,85,39.51,54.37,23.67,5.73
Korla,36,CN,1512347508,80,41.76,86.15,18.45,2.71
Kambove,68,CD,1512347539,94,-10.88,26.6,61.65,2.37
Sault Sainte Marie,1,US,1512345600,80,46.5,-84.35,35.6,3.36
Palu,20,ID,1512347540,90,-0.89,119.87,82.26,3.38
Yueyang,36,CN,1512347541,92,29.33,113.09,44.28,10.65
Hov,56,NO,1512347542,79,60.7,10.35,17.55,3.71
Barrow,90,US,1512346020,84,71.29,-156.79,3.2,20.8
Broome,0,AU,1512345600,62,-17.97,122.23,89.6,8.05
Camocim,0,BR,1512347543,72,-2.9,-40.84,80.41,16.02
Mareeba,75,AU,1512345600,70,-17.0,145.43,86.0,5.82
Warrnambool,64,AU,1512347544,98,-38.38,142.48,59.04,13.11
Luganville,92,VU,1512347545,100,-15.53,167.17,76.59,4.05
Tateyama,20,JP,1512345600,62,34.98,139.87,55.4,11.41
Guiratinga,24,BR,1512347546,96,-16.35,-53.76,72.67,2.93
Predivinsk,92,RU,1512347546,78,57.07,93.44,18.63,11.54
Segovia,0,ES,1512345600,68,40.95,-4.12,28.4,3.36
Bontang,88,ID,1512347548,100,0.13,117.5,76.72,5.17
Bredasdorp,20,ZA,1512345600,67,-34.53,20.04,62.6,2.24
San Felipe,0,VE,1512347549,75,10.34,-68.74,74.79,4.16
Barreirinhas,0,BR,1512347369,73,-2.75,-42.83,80.91,15.68
Richards Bay,76,ZA,1512347523,82,-28.78,32.04,70.51,12.44
Ahipara,32,NZ,1512347550,63,-35.17,173.17,74.52,9.98
Pisco,0,PE,1512345600,82,-13.7,-76.22,66.2,14.99
Namibe,0,AO,1512347551,100,-15.2,12.15,69.3,11.1
Linxia,0,CN,1512347552,56,35.6,103.21,-3.11,0.47
Arlit,0,NE,1512347552,43,18.74,7.39,57.06,5.73
Chirongui,48,YT,1512345600,83,-12.93,45.15,78.8,4.38
Hays,1,US,1512345360,58,38.88,-99.33,59.0,6.93
Carauari,8,BR,1512347555,75,-4.88,-66.9,84.87,1.92
Porto Nacional,75,BR,1512342000,83,-10.71,-48.42,77.0,3.83
Saskylakh,12,RU,1512347556,35,71.92,114.08,-23.59,8.08
Saku,0,JP,1512345600,74,36.22,138.48,33.8,2.24
Ambalavao,32,MG,1512347558,95,-21.83,46.93,63.99,3.6
Vila Franca do Campo,20,PT,1512345600,82,37.72,-25.43,66.2,10.29
Coihaique,75,CL,1512345600,46,-45.58,-72.07,69.8,2.24
Bagdarin,8,RU,1512347559,43,54.43,113.6,-17.33,5.84
Alenquer,0,BR,1512345600,70,-1.94,-54.74,84.2,9.17
Kroya,32,ID,1512347561,94,-7.63,109.25,82.62,2.71
Rorvik,80,NO,1512347561,100,64.86,11.24,38.52,6.06
Kavieng,48,PG,1512347562,100,-2.57,150.8,82.66,18.14
Murray Bridge,80,AU,1512347563,91,-35.12,139.27,62.59,11.65
Santa Lucia,75,ES,1512345600,68,27.91,-15.54,66.2,18.34
Russkiy Kameshkir,92,RU,1512347565,98,52.86,46.09,32.4,12.66
Bethel,75,US,1512345360,100,41.37,-73.41,44.6,2.59
Mehamn,88,NO,1512347567,100,71.04,27.85,33.12,12.44
Gashua,0,NG,1512347568,36,12.87,11.05,62.77,8.63
Moron,90,AR,1512345600,73,-34.65,-58.62,69.8,17.22
Yulara,0,AU,1512345600,27,-25.24,130.99,73.4,18.34
Filadelfia,56,PY,1512347570,100,-22.35,-60.03,75.42,5.28
Alice Springs,0,AU,1512345600,26,-23.7,133.88,69.8,17.22
Port-Gentil,40,GA,1512342000,83,-0.72,8.78,82.4,6.93
Carnarvon,92,AU,1512347572,68,-24.87,113.63,82.26,7.4
Tambopata,0,PE,1512342000,74,-12.73,-69.18,80.6,4.7
Dikson,0,RU,1512347574,93,73.51,80.55,10.71,18.25
